SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-SAM-1006,"Home Button Flex Ribbon for Samsung Galaxy S4 Mini",1,0,10.00,6.43,2.22,1.90,4.5540,3.6900,0.9900,,,,,,,,6.00,5.99
FLX-SAM-1263,"USB Charging Port for Samsung Galaxy Nexus",100,0,0.00,0.00,0.00,0.00,2.9500,,0.9900,,,,,4.06,,,,
FLX-SAM-1323,"Charging Port Flex Cable for Samsung Galaxy Note Edge N915V ",4,0,15.00,6.25,0.00,2.40,2.4500,1.8900,1.7900,,4.00,4.50,,6.78,,,8.00,
FLX-SAM-1379,"Home Button Flex Cable for Samsung Galaxy Note 5 - Gold Platinum",3,0,40.00,6.32,1.48,6.56,8.1700,6.8900,8.9900,11.11,,,10.99,15.02,,,15.00,
FLX-SAM-1436,"USB Charging Port Cover for Samsung Galaxy S5 - Gold",6,0,1.50,6.85,1.23,0.40,1.2300,0.7900,0.0000,,,,,1.26,,,2.00,1.99
FLX-SAM-1458,"Home Button for Samsung Galaxy Note 5 - White",4,0,55.00,6.80,7.02,9.12,6.1200,4.4900,8.9900,11.65,,12.99,10.99,13.56,,,15.00,
FLX-SAM-719,"LCD Flex Cable for Samsung Galaxy Note 8.0 Tablet",8,0,0.00,0.00,0.00,0.00,6.9500,4.6900,0.9900,,,,,,,,,16.99
FLX-SAM-782,"Home Button Bezel Frame for Samsung Galaxy Note 2",5,4,3.00,6.85,2.16,0.75,1.8250,1.5900,0.9900,,,,,,,,2.00,
FLX-SAM-804,"Power Button Connector Flex Cable for Samsung Galaxy Mega 6.3",4,1,13.00,6.32,1.01,2.22,2.4250,2.0900,2.9900,,7.99,3.45,,,,,,
FLX-SAM-914,"Front Facing Camera Bracket for Samsung Galaxy Note 2",32,0,0.00,0.00,0.00,0.00,5.9500,3.8900,0.9900,,,,,,,,7.75,
FLX-SNY-010,"Sony Xperia Z1 L39h Motherboard Flex Cable Ribbon",2,0,15.00,6.32,2.21,2.72,6.0750,4.4900,1.9900,,,,,6.15,,,,
FLX-SNY-022,"Sony Xperia Z3 D6603 D6643 D6653 Charging Port",4,0,3.00,6.13,2.50,0.90,1.9500,,1.9900,,,2.99,,,,,,
FLX-SNY-024,"Sony Xperia Z3 Dual Earpiece Speaker",11,0,3.50,6.50,1.68,0.80,1.8750,1.5900,1.9900,,,,,,,,,4.99
FLX-SNY-027,"Front Camera Replacement for Sony Xperia Z5",10,0,25.00,6.43,1.83,4.17,7.9200,6.6900,1.9900,,8.00,,,,,,,11.99
FLX-SNY-044,"Power and Volume Button Flex Cable Replacement for Sony Xperia Z5 Compact",4,0,50.00,6.50,3.13,8.17,13.8900,11.1900,1.9900,,,,,15.12,,,,
FLX-TAB-068,"ASUS GOOGLE Nexus 7 ME370T USB Motherboard Flex",9,0,0.00,0.00,0.00,0.00,6.9500,,0.9900,,,,,8.35,,,,
FLX-TAB-106,"ASUS Transformer Pad TF300T Front Camera Flex",0,0,0.00,0.00,0.00,0.00,4.9500,,0.0000,,,,,6.25,,,,
FLX-TAB-108,"ASUS Transformer Pad TF300T Back Camera Flex",1,0,0.00,0.00,0.00,0.00,6.9500,,0.9900,,,,,8.28,,,,
SRN-HTC-144,"HTC Evo 4G LTE LCD Screen + Digitzer Touch Screen - White",2,0,110.00,6.50,2.74,17.34,24.7700,22.7900,16.9900,,,,,44.63,,,,
SRN-HTC-186,"HTC G2 / Desire Z LCD Screen",4,0,45.00,6.32,0.00,7.12,13.9600,11.2900,13.9900,,,,,24.01,,,,29.99
SRN-HTC-252,"HTC Inspire / Desire HD LCD Screen",44,0,0.00,0.00,0.00,0.00,14.9500,14.8900,14.4900,,,,,,,,,22.99
SRN-HTC-336,"HTC Radar 4G Touch Screen Digitizer",8,0,0.00,0.00,0.00,0.00,8.9500,8.8900,10.9900,,,,,15.24,,,,
SRN-HTC-360,"HTC Sensation LCD + Touch Screen Digitizer",14,0,0.00,0.00,0.00,0.00,30.9500,26.6900,8.9900,,,,,31.57,,,,
SRN-HTC-432,"HTC Titan 2 Touch Screen Digitizer - Black",3,0,0.00,0.00,0.00,0.00,14.9500,10.8900,4.9900,,,,,16.42,,,,
SRN-HTC-438,"HTC Titan Touch Screen Digitizer",10,0,0.00,0.00,0.00,0.00,12.9500,11.8900,4.9900,,,,,16.42,,,,
SRN-HTC-444,"HTC Trophy LCD Screen",8,0,0.00,0.00,0.00,0.00,13.9500,13.8900,4.9900,,,,,17.71,,,,
SRN-HTC-450,"HTC Trophy LCD + Touch Screen Digitizer",2,0,100.00,6.14,5.26,17.14,24.8530,22.8900,4.9900,,,,,54.02,,,,
SRN-HTC-462,"HTC Vivid LCD Screen",28,0,0.00,0.00,0.00,0.00,19.9500,15.7900,42.9900,,,,,22.74,,,,
SRN-HTC-480,"HTC Vivid Touch Screen Digitizer - Black",5,0,25.00,6.13,9.52,5.63,10.1340,8.7900,14.9900,,,,,10.67,,,,
