SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-SAM-724,"Samsung Galaxy Note 10.1 Tablet N8000 Charging Port Flex Cable REV 0.5",0,0,15.00,6.50,3.05,2.78,6.0525,4.4900,0.9900,2.33,,0.00,,4.97,,,,
FLX-SAM-725,"Samsung Galaxy Note 10.1 Tablet N8000 LCD Flex Cable",15,0,9.00,6.12,1.92,1.78,4.0940,3.2900,0.9900,1.80,,0.00,,1.76,,,,
FLX-SAM-726,"Menu Keypad Buttons Flex Cable for Samsung Galaxy S4 (GSM)",11,0,8.00,6.56,0.98,1.37,3.6600,2.9900,0.9900,1.95,3.49,,0.00,,,,,
FLX-SAM-727,"Power Volume for Samsung Galaxy S3 - Red",0,0,5.00,6.43,2.22,1.12,2.6900,2.0900,0.5900,,,0.30,,1.28,,,,
FLX-SAM-729,"Sim Card Memory SD Card Flex Cable for Samsung Galaxy S4 REV 1.3",0,0,6.00,6.58,0.50,0.99,3.3600,2.5900,0.9900,1.20,0.00,0.99,0.00,2.56,,,,
FLX-SAM-731,"Headphone Ear Piece Audio Jack Speaker Flex Cable for Samsung Galaxy Note ",25,0,0.00,0.00,0.00,0.00,11.9500,9.9900,0.9900,0.00,,0.00,,1.06,,,,
FLX-SAM-733,"Front Camera for Samsung Galaxy S4",24,1,5.00,6.32,0.50,0.87,2.1750,1.8900,0.9900,0.98,2.49,0.99,0.00,1.75,,,0.00,0.00
FLX-SAM-736,"Sim Card Memory SD Card Flex Cable for Samsung Galaxy S4 REV 1.3 / 0.5",5,0,5.00,6.32,2.55,1.19,2.5400,1.9600,0.9900,1.22,4.49,0.00,0.00,2.56,,,,
FLX-SAM-737,"Home Button for Samsung Galaxy S4 - White",17,0,2.00,6.50,1.60,0.55,1.6800,1.4900,0.0000,0.77,,,,0.00,,,0.00,0.00
FLX-SAM-738,"Loudspeaker Buzzer for Samsung Galaxy S4 - White",1,0,8.00,6.82,2.24,1.50,3.6000,2.7800,1.4900,1.95,0.00,,0.00,1.78,,,,
FLX-SAM-739,"Samsung Galaxy Note 10.1 Tablet N8000 Headphone Audio Jack Flex Cable REV 0.3A",9,0,0.00,0.00,0.00,0.00,5.9500,3.5900,0.9900,0.00,,1.50,,0.00,,,,
FLX-SAM-740,"Power Volume for Samsung Galaxy S3 - White",66,0,0.00,0.00,0.00,0.00,2.9500,0.9900,0.9900,,,0.00,,0.65,,,0.00,
FLX-SAM-742,"USB Charging Port Microphone Flex Cable for Samsung Galaxy S4 i9505  REV 19",7,0,13.00,6.88,2.20,2.21,5.6700,4.1900,5.4900,0.00,4.49,,,3.96,,,0.00,
FLX-SAM-744,"Vibrator Module Flex Cable for Samsung Galaxy Note",22,0,0.00,0.00,0.00,0.00,5.9500,3.1900,0.9900,,,0.00,,,,,,
FLX-SAM-746,"Charging Port Flex Cable for Samsung Galaxy Note 2 I317 N7105  Rev 0.7 1.0",0,0,15.00,6.85,2.17,2.51,5.6500,4.1400,0.9900,0.00,7.49,0.00,0.00,4.98,,,,
FLX-SAM-748,"Charging Port Flex Cable for Samsung Galaxy S2 Skyrocket i727 Rev 4.5",16,0,0.00,0.00,0.00,0.00,14.9500,12.9900,0.9900,,,1.99,,,,,,
FLX-SAM-750,"Vibrator Module for Samsung Galaxy S4",418,0,0.00,0.00,0.00,0.00,2.9500,,0.9900,0.60,,0.99,,0.87,,,0.00,
FLX-SAM-752,"Audio Headphone Jack Earpiece Speaker Flex Cable for Samsung Galaxy S Blaze ",7,0,0.00,0.00,0.00,0.00,10.9500,8.9900,0.9900,,,0.00,,,,,,
FLX-SAM-754,"LCD Tester for Samsung Galaxy S3 ",3,0,10.00,6.85,2.17,1.78,4.0900,3.2900,1.9900,1.57,,,0.00,3.22,,,,
FLX-SAM-756,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i337 M919 USB ",3,2,10.00,6.85,3.04,1.90,5.9900,5.9900,1.9900,1.99,7.99,1.99,1.99,4.95,,,,
FLX-SAM-758,"USB Charging Port Microphone Flex Cable for Samsung Galaxy S4 L720 i545  REV 0.7",7,0,8.00,6.85,2.46,1.53,6.7275,4.9300,2.9900,0.00,3.49,0.00,2.99,2.71,,,0.00,
FLX-SAM-764,"Samsung Galaxy S2 Skyrocket i727 Charging Port Flex Cable Rev 4.6",0,0,8.00,6.12,2.59,1.73,3.9790,3.2900,0.9900,,,3.00,,,,,,
FLX-SAM-772,"Stylus Flex Pen Writing Input for Samsung Galaxy Note 2",16,0,15.00,6.32,0.00,2.37,6.5300,5.1900,0.9900,0.00,,,,0.00,,,0.00,5.99
FLX-SAM-782,"Home Button Bezel Frame for Samsung Galaxy Note 2",4,1,3.00,6.85,2.16,0.75,1.8250,1.5900,0.9900,,,,,,,,0.00,
FLX-SAM-786,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900A ",4,2,15.00,6.85,3.44,2.69,8.3400,8.3400,2.8900,2.93,6.49,2.99,2.99,6.56,,,0.00,7.90
FLX-SAM-788,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900P ",3,0,15.00,6.65,0.54,2.34,8.0750,6.8900,2.4900,2.56,,0.00,0.00,6.66,,,0.00,7.90
