SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
SRN-SAM-043,"Galaxy Note 2 i605 L900 LCD + Digitizer Touch Screen - Gray - New",470.00,6.82,7.93,70.08,115.3400,84.9900,0.0000,84.99,107.99,0.00,93.99,,,,,
SRN-SAM-044,"Galaxy Note 2 i605 L900 LCD + Digitizer Touch Screen  - Marble White - New",460.00,6.85,12.50,68.98,91.4100,84.9900,0.0000,84.99,104.99,0.00,69.99,,,,,
BTY-COV-042,"Samsung Galaxy S2 i727 Back Battery Door Cover - Black",10.00,6.85,3.03,1.90,4.3240,3.4900,0.0000,,,1.99,,,,,,
BTY-COV-060,"Samsung Stratosphere i405 Back Battery Door Cover - Black",0.00,0.00,0.00,0.00,4.9500,2.9900,0.0000,,,2.50,,,,,,
FLX-SAM-474,"Samsung Galaxy Note 2 N7100 i605 i317 T889 L900Loudspeaker Buzzer Ringer Module - Gray",12.00,6.50,3.82,2.43,4.8150,3.5900,0.0000,,,1.48,2.99,,,,,
FLX-SAM-667,"Samsung Galaxy Note 2 N7100 N7105 i337 M919 i545 L720 Camera Flex Cable",18.00,6.12,1.21,3.14,6.5940,5.1900,0.0000,2.75,,,0.99,,,,,
APL-001-0415,"Front Screen Glass for iPhone 5/5C/5S White",6.00,6.50,1.06,1.09,3.3120,2.5900,0.0000,2.50,7.99,1.50,1.49,,,,,
APL-001-0418,"Front Screen Glass  for iPhone 5/5C/5S Black",6.00,6.85,1.23,1.06,3.3120,2.5900,0.0000,2.50,7.99,1.50,2.99,,,,,
FLX-SAM-631,"Samsung Exhibit 2 T679 Loudspeaker Buzzer",0.00,0.00,0.00,0.00,5.9500,3.8900,0.0000,,,0.99,,,,,,
FLX-SAM-637,"Samsung Exhilarate i557 Earpiece Proxmity Flex Cable",0.00,0.00,0.00,0.00,8.9500,6.9900,0.0000,,,0.99,,,,,,
FLX-SAM-640,"Samsung Galaxy Note 2 N7100 N7105 i317 T889 i605 L900 Home Button - Gray",3.50,6.85,2.16,0.83,2.5000,2.1900,0.0000,,2.99,,1.49,,,,,
FLX-SAM-641,"Samsung Galaxy Note 2 N7100 N7105 i317 T889 i605 L900 Home Button - White",2.00,6.85,2.16,0.61,1.3000,0.7900,0.0000,2.99,2.99,0.80,0.99,,,,,
FLX-SAM-651,"Samsung Galaxy Tab 2  10.1 P5113 P5100 Charging Port Flex Cable",15.00,6.85,2.17,2.51,5.6250,4.1900,0.0000,3.49,,,3.99,,,,,
FLX-SAM-652,"Samsung Galaxy W i8150 Loudspeaker Buzzer",0.00,0.00,0.00,0.00,7.9500,5.3900,0.0000,,,0.99,,,,,,
FLX-SAM-654,"Samsung Galaxy S Captivate i897 Loudspeaker Buzzer",0.00,0.00,0.00,0.00,4.9500,2.9900,0.0000,,,0.80,,,,,,
FLX-SAM-657,"Samsung Galaxy Note Tablet N8000 Sim Card Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.8900,0.0000,,,2.99,,,,,,
FLX-SAM-658,"Samsung Galaxy Tab 10.1 P7500 Loudspeaker Buzzer",0.00,0.00,0.00,0.00,4.9500,2.9900,0.0000,,,0.90,,,,,,
FLX-SAM-664,"Samsung Galaxy Tab SGH-i957 P7300 P7310 P7320 Loudspeaker Buzzer",0.00,0.00,0.00,0.00,7.9500,5.3900,0.0000,,,0.99,,,,,,
FLX-SAM-681,"Samsung Galaxy Note 2 L900 Charging Port Flex Cable",48.00,6.82,2.24,7.37,12.5300,10.1000,0.0000,4.99,,3.99,2.99,,,,,
FLX-SAM-665,"Samsung Epic 2 D710 Earpiece Speaker Earpiece Speaker",0.00,0.00,0.00,0.00,3.9500,1.9900,0.0000,,,0.99,,,,,,
FLX-LGM-128,"LG P970 Optimus Black Light Sensor Microphone Flex Cable",0.00,0.00,0.00,0.00,6.9500,4.1900,0.0000,,,0.99,,,,,,
APL-003-0204,"Charging Port Flex Cable Ribbon for ATT iPhone 4 Black",8.00,6.88,0.15,1.18,3.9790,3.2900,0.0000,2.99,7.99,,3.99,,,,,
APL-003-0206,"Charging Port Flex Cable Ribbon for ATT iPhone 4 White",9.00,6.28,3.22,1.95,4.4850,3.6900,0.0000,2.99,,,4.99,,,,,
FLX-SAM-693,"Samsung Galaxy S3 i9300 T999 i747 i535 L710 Loudspeaker Flex Cable - Black",0.00,0.00,0.00,0.00,7.9500,5.1900,0.0000,4.25,,,,,,,,
SRN-SAM-224,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - Black Mist",340.00,6.88,1.59,49.65,83.9700,67.9900,0.0000,69.99,84.99,67.99,77.99,,,,,
SRN-SAM-230,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - White",340.00,6.88,1.59,49.65,83.9700,67.9900,0.0000,69.99,79.99,67.99,77.99,,,,,
SRN-MOT-144,"Motorola Atrix HD MB886 Screen Digitizer",45.00,6.13,0.00,7.34,14.1100,11.3900,0.0000,,0.00,,,,,,,
FLX-UCP-006,"Blackberry 8800 8820 8830 8810 USB Charging Port",0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,0.40,,,,,,
FLX-UCP-042,"Motorola Atrix 4G MB860 USB Charging Port",0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,0.50,1.99,,,,,
FLX-UCP-048,"HTC Thunderbolt Evo 3D Nexus One Desire USB Charging Port",0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,,0.99,,,,,
FLX-UCP-066,"HTC T-Mobile G2/Evo 4G USB Charging Port",0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,,0.99,,,,,
FLX-UCP-072,"HTC Evo Shift 4G USB Charging Port",0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,,0.99,,,,,
FLX-SAM-700,"Samsung Galaxy S3 i9300 T999 i747 i535 L710 Loudspeaker Flex Cable - Red",0.00,0.00,0.00,0.00,9.9500,7.3900,0.0000,,,1.99,,,,,,
APL-003-0191,"Charging Port Flex Cable for iPhone 3GS",0.00,0.00,0.00,0.00,4.9500,0.9900,0.0000,,,0.99,,,,,,
FLX-HTC-428,"HTC Wildfire S Keypad Touch Sensor Flex Cable",0.00,0.00,0.00,0.00,3.9500,1.9900,0.0000,,,0.80,,,,,,
FLX-UCP-106,"HTC Mytouch 4G Charging Port",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,,0.49,,,,,
BTY-HTC-030,"HTC Evo 4G BB96100 / RHOD160 Replacement Battery ",0.00,0.00,0.00,0.00,10.9500,,0.0000,,,1.99,0.49,,,,,
SRN-SAM-242,"Galaxy S3 T999 i747 LCD + Touch Screen Digitizer with Frame - Blue",38.00,1.00,0.00,38.00,78.3900,59.9900,0.0000,65.00,72.99,,65.99,,,,,
SRN-SAM-246,"Galaxy S4 i9500 i9505 i337 M919 i545 L720 R970 Replacement Glass  - White",6.00,6.85,3.85,1.44,2.9760,2.2900,0.0000,3.00,7.99,1.99,3.49,,,,,
FLX-HTC-450,"HTC Raider USB Charging Port Connector Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.8900,0.0000,,,0.99,,,,,,
FLX-LGM-156,"LG P920 Optimus 3D P925 Thrill Proximity Sensor Ear Piece Speaker Flex Cable",0.00,0.00,0.00,0.00,7.9500,5.1900,0.0000,,,1.50,,,,,,
APL-003-1004,"Charging Port Flex Cable Assembly for iPad Mini Black",10.00,6.85,3.80,2.01,4.5200,3.3200,0.0000,4.85,7.99,1.20,2.99,,,,,
APL-003-1156,"Wifi Antenna Ribbon Flex Cable for iPhone 5",3.00,6.50,1.36,0.67,1.5750,0.9900,0.0000,2.23,4.99,0.99,0.99,,,,,
