"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
"06/08/15 12:00 AM",,0.00,"40,000.00","-25,771.74",,
"06/10/15 03:13 PM",,"2,042.48",0.00,"-23,729.26",3286359742,"Received 06/09/2015"
"06/15/15 12:14 PM",,"2,728.76",0.00,"-21,000.50",1780964010,"Received 06/09/2015"
"06/12/15 11:08 AM",,"2,487.75",0.00,"-18,512.75",5565043702,"Received 06/10/2015"
"06/12/15 11:31 AM",,"2,230.39",0.00,"-16,282.36",1780981543,"Received 06/10/2015"
"06/12/15 11:36 AM",,"2,083.33",0.00,"-14,199.03",1780981565,"Received 06/10/2015"
"06/15/15 01:27 PM",,"1,601.31",0.00,"-12,597.72",1780981580,"Received 06/10/2015"
"06/15/15 04:38 PM",,"1,830.07",0.00,"-10,767.66",1780981613,"Received 06/10/2015"
"06/12/15 11:08 AM",,"2,349.67",0.00,"-8,417.98",1780963995,"Received 06/11/2015"
"06/15/15 12:46 PM",,"3,120.92",0.00,"-5,297.07",1780998004,"Received 06/11/2015"
"06/12/15 01:11 PM",,"1,263.48",0.00,"-4,033.59",1780981425,"Received 06/12/2015"
"06/15/15 11:59 AM",,"3,055.56",0.00,-978.03,1780997960,"Received 06/12/2015"
"06/15/15 12:08 PM",,"2,867.65",0.00,"1,889.61",1780997934,"Received 06/12/2015"
"06/15/15 01:20 PM",,"7,061.27",0.00,"8,950.89",3231611880,"Received 06/12/2015"
"06/15/15 01:10 PM",,936.60,0.00,"9,887.49",3231608951,"Received 06/12/2015"
"06/15/15 04:02 PM",,"6,433.42",0.00,"16,320.91",3231628256,"Received 06/13/2015"
"06/15/15 02:39 PM",,"2,115.36",0.00,"18,436.26",3231628326,"Received 06/13/2015"
"06/15/15 12:55 PM",,"3,643.79",0.00,"22,080.06",3231627991,"Received 06/13/2015"
"06/15/15 12:24 PM",,"3,480.39",0.00,"25,560.45",3231627954,"Received 06/13/2015"
"06/17/15 01:49 PM",,"8,439.54",0.00,"33,999.99",3231649783,"Received 06/15/2015"
"06/15/15 12:00 AM",,0.00,"40,000.00","-6,000.01",,
"06/17/15 12:19 PM",,"2,725.49",0.00,"-3,274.52",3231649540,"Received 06/16/2015"
"06/17/15 01:15 PM",,"6,371.73",0.00,"3,097.21",3231672452,"Received 06/16/2015"
"06/17/15 12:43 PM",,"3,852.12",0.00,"6,949.34",3231669766,"Received 06/16/2015"
"06/17/15 12:23 PM",,"2,704.25",0.00,"9,653.59",3231669803,"Received 06/16/2015"
"06/22/15 11:47 AM",,"3,831.70",0.00,"13,485.28",3231669840,"Received 06/16/2015"
"06/22/15 12:07 PM",,"3,619.28",0.00,"17,104.57",3231669884,"Received 06/16/2015"
"06/19/15 12:13 PM",,"9,379.08",0.00,"26,483.65",3231696650,"Received 06/16/2015"
"06/18/15 11:21 AM",,889.05,0.00,"27,372.70",3231696705,"Received 06/16/2015"
"06/19/15 11:45 AM",,"2,181.37",0.00,"29,554.08",3231688666,"Received 06/16/2015"
"06/22/15 11:38 AM",,"1,783.50",0.00,"31,337.57",3231688670,"Received 06/17/2015"
"06/22/15 11:53 AM",,"2,352.94",0.00,"33,690.51",3231688703,"Received 06/17/2015"
"06/17/15 12:00 AM",,0.00,"40,000.00","-6,309.49",,
"06/22/15 01:55 PM",,"1,279.74",0.00,"-5,029.75",9578169381,"Received 06/18/2015"
"06/22/15 11:32 AM",,"3,112.75",0.00,"-1,917.00",9578163324,"Received 06/18/2015"
"06/22/15 03:05 PM",,"2,223.13",0.00,306.12,8587521692,"Received 06/19/2015"
"06/22/15 02:09 PM",,"2,227.12",0.00,"2,533.25",8587521655,"Received 06/19/2015"
"06/22/15 02:17 PM",,"1,086.60",0.00,"3,619.85",8587521622,"Received 06/19/2015"
"06/22/15 11:24 AM",,"2,237.75",0.00,"5,857.59",9578163302,"Received 06/21/2015"
"06/22/15 04:25 PM",,"6,778.59",0.00,"12,636.19",8587521600,"Received 06/21/2015"
"06/24/15 12:06 PM",,929.08,0.00,"13,565.27",8587556703,"Received 06/21/2015"
"06/24/15 10:27 AM",,"4,740.20",0.00,"18,305.47",8587551184,"Received 06/22/2015"
"06/25/15 11:32 AM",,"1,282.68",0.00,"19,588.15",8587551405,"Received 06/22/2015"
"06/25/15 10:59 AM",,"2,687.91",0.00,"22,276.06",8587551416,"Received 06/22/2015"
"06/24/15 10:58 AM",,"2,377.45",0.00,"24,653.51",8587568673,"Received 06/23/2015"
"06/24/15 11:04 AM",,"2,377.45",0.00,"27,030.96",8587568640,"Received 06/23/2015"
"06/23/15 12:00 AM",,0.00,"40,000.00","-12,969.04",,
"06/29/15 11:34 AM",,"2,482.03",0.00,"-10,487.01",8587606764,"Received 06/25/2015"
"06/29/15 03:14 PM",,"1,967.32",0.00,"-8,519.69",5396020350,"Received 06/26/2015"
"06/29/15 01:22 PM",,"8,835.78",0.00,316.09,5396020335,"Received 06/26/2015"
"06/26/15 12:00 AM",,0.00,"40,000.00","-39,683.91",,
"06/29/15 11:26 AM",,"3,816.99",0.00,"-35,866.92",5396014525,"Received 06/27/2015"
"06/29/15 12:44 PM",,"8,876.63",0.00,"-26,990.28",5396037780,"Received 06/27/2015"
"06/29/15 11:56 AM",,"2,452.61",0.00,"-24,537.67",5396036461,"Received 06/27/2015"
"06/29/15 02:23 PM",,"3,797.39",0.00,"-20,740.28",5396036531,"Received 06/27/2015"
"06/29/15 11:48 AM",,"2,851.31",0.00,"-17,888.97",8587606742,"Received 06/28/2015"
"06/29/15 01:38 PM",,"2,254.90",0.00,"-15,634.07",5396014481,"Received 06/28/2015"
"06/29/15 12:58 PM",,"3,522.88",0.00,"-12,111.20",5396014466,"Received 06/28/2015"
"07/01/15 12:22 PM",,"2,189.54",0.00,"-9,921.65",5396036564,"Received 06/28/2015"
"07/01/15 11:08 AM",,"9,877.45",0.00,-44.20,5396061941,"Received 06/28/2015"
"06/30/15 02:58 PM",,"2,450.98",0.00,"2,406.78",5396062011,"Received 06/28/2015"
"07/01/15 02:09 PM",,"2,173.20",0.00,"4,579.98",5396062033,"Received 06/28/2015"
"07/01/15 02:20 PM",,"2,998.37",0.00,"7,578.35",5396062022,"Received 06/30/2015"
"07/02/15 11:33 AM",,"5,253.27",0.00,"12,831.61",5396083350,"Received 06/30/2015"
"07/02/15 10:51 AM",,"2,614.38",0.00,"15,445.99",5396083534,"Received 06/30/2015"
"07/02/15 10:43 AM",,"2,142.16",0.00,"17,588.15",5396083593,"Received 06/30/2015"
"07/02/15 01:32 PM",,"2,883.99",0.00,"20,472.14",5396083626,"Received 06/30/2015"
"07/02/15 01:23 PM",,"2,933.01",0.00,"23,405.14",5396083630,"Received 06/30/2015"
"07/02/15 12:11 PM",,"7,093.46",0.00,"30,498.61",5396108045,"Received 06/30/2015"
"06/30/15 12:00 AM",,0.00,"40,000.00","-9,501.39",,
"06/30/15 12:00 AM","China Facility Support (12600 RMB with 6.12 exchange rate)","2,058.00",0.00,"-7,443.39",,
"06/30/15 12:00 AM","Battery Shipment. XT875, P990, P930, MB886 ","3,222.00",0.00,"-4,221.39",,
"07/02/15 12:15 PM",,"1,748.37",0.00,"-2,473.03",5396107721,"Received 07/01/2015"
"07/02/15 01:57 PM",,"2,028.59",0.00,-444.43,5396107802,"Received 07/01/2015"
"07/03/15 02:56 PM",,"1,789.22",0.00,"1,344.78",5396107776,"Received 07/01/2015"
"07/07/15 01:59 PM",,"2,351.88",0.00,"3,696.66",5741265261,"Received 07/02/2015"
"07/06/15 02:29 PM",,"6,109.48",0.00,"9,806.14",5396149625,"Received 07/02/2015"
"07/03/15 12:00 AM",,0.00,"40,000.00","-30,193.86",,
"07/07/15 11:55 AM",,"1,160.95",0.00,"-29,032.91",5396149640,"Received 07/05/2015"
"07/06/15 11:52 AM",,"3,572.71",0.00,"-25,460.20",5396131252,"Received 07/06/2015"
"07/07/15 10:50 AM",,"2,503.27",0.00,"-22,956.93",5396131285,"Received 07/06/2015"
"07/07/15 11:07 AM",,"2,339.87",0.00,"-20,617.06",5396131226,"Received 07/06/2015"
"07/06/15 01:30 PM",,724.67,0.00,"-19,892.39",5396149662,"Received 07/06/2015"
"07/07/15 11:42 AM",,"2,906.05",0.00,"-16,986.34",5396149636,"Received 07/06/2015"
"07/06/15 11:19 AM",,"6,004.90",0.00,"-10,981.44",5396172003,"Received 07/06/2015"
"07/06/15 12:17 PM",,"3,009.80",0.00,"-7,971.64",5396170566,"Received 07/06/2015"
"07/06/15 12:01 PM",,"2,549.02",0.00,"-5,422.62",5396170570,"Received 07/06/2015"
"07/08/15 12:26 PM",,"2,888.07",0.00,"-2,534.55",5396197295,"Received 07/07/2015"
"07/09/15 11:17 AM",,"5,683.01",0.00,"3,148.46",2926220931,"Received 07/07/2015"
"07/08/15 12:18 PM",,"2,933.01",0.00,"6,081.47",2926220220,"Received 07/07/2015"
"07/07/15 12:00 AM",,0.00,"40,000.00","-33,918.53",,
"07/08/15 12:11 PM",,"3,398.69",0.00,"-30,519.84",5396197262,"Received 07/08/2015"
"07/08/15 11:53 AM",,"3,924.84",0.00,"-26,595.00",5396197284,"Received 07/08/2015"
"07/09/15 03:21 PM",,"3,402.78",0.00,"-23,192.23",2926241323,"Received 07/08/2015"
"07/10/15 02:51 PM",,"7,133.50",0.00,"-16,058.73",2926241931,"Received 07/09/2015"
"07/13/15 12:27 PM",,"5,617.65",0.00,"-10,441.08",2926264165,"Received 07/09/2015"
"07/14/15 03:05 PM",,"2,287.58",0.00,"-8,153.50",2926264025,"Received 07/10/2015"
"07/14/15 12:37 PM",,"1,942.81",0.00,"-6,210.69",2926264051,"Received 07/10/2015"
