SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
APL-001-0916,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Purple",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0918,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Baby Blue",120.00,6.13,1.58,19.83,0.0000,,,13.50,
APL-001-0922,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Yellow",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0924,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Green",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0926,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Electric Pink",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0928,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Chrome Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0932,"LCD and Digitizer Assembly for iPhone 4S  Full Set Magenta",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0934,"LCD and Digitizer Assembly for iPhone 4S  Full Set Purple",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0936,"LCD and Digitizer Assembly for iPhone 4S  Full Set Pink Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0940,"LCD and Digitizer Assembly for iPhone 4S  Full Set Red Mirror",120.00,6.12,2.02,19.94,0.0000,,,13.50,
SRN-LGM-306,"LG G3 D850 D851 D855 VS985 LS990 LCD Digitizer Assembly White",290.00,6.85,3.32,42.82,0.0000,52.75,52.99,51.98,63.99
SRN-LGM-308,"LG G3 D850 D851 D855 VS985 LS990 US990 LCD Digitizer Assembly Gold",290.00,6.88,9.56,43.54,0.0000,52.75,52.99,49.98,63.99
APL-001-1018,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Red Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
TAB-SRN-274,"Samsung Galaxy Tab 3 8.0 SM T310 (Wifi Version) Digitizer White",50.00,6.82,7.35,8.41,0.0000,12.29,14.99,8.99,
