SKU,ItemName
LBB-NON-C-IP12C ,iPad Mini 1/2 iC Chip Non-OEM Grade C 
LBB-NON-C-IPMIC ,iPad Mini IC Non-OEM Grade C
LBB-NON-C-MEG ,LBB Galaxy Mega Non-OEM Grade C 
LBB-NON-C-N1 ,LBB Note 1 Non-OEM Grade C 
LBB-NON-C-N2 ,LBB Note 2 Non-OEM Grade C 
LBB-NON-C-N3 ,LBB Note 3 Non-OEM Grade C 
LBB-NON-C-N4 ,LBB Note 4 Non-OEM Grade C 
LBB-NON-C-N5 ,LBB Note 5 Non-OEM Grade C 
LBB-NON-C-NX4 ,LBB LG Nexus 4 Non-OEM Grade C
LBB-NON-C-NX5 ,LBB LG Nexus 5 Non-OEM Grade C 
LBB-NON-C-NX6 ,LBB Motorola Nexus 6 Non-OEM Grade C
LBB-NON-C-S3 ,LBB Galaxy S3 Non-OEM Grade C 
LBB-NON-C-S4 ,LBB Galaxy S4 Non-OEM Grade C 
LBB-NON-C-S5 ,LBB Galaxy S5 Non-OEM Grade C 
LBB-NON-C-S6 ,LBB Galaxy S6 Non-OEM Grade C 
LBB-NON-C-S6E ,LBB Galaxy S6 Edge Non-OEM Grade C 
LBB-SLVG-G2 ,LBB LG G2 Salvage 
LBB-SLVG-G3 ,LBB LG G3 Salvage 
LBB-SLVG-G4 ,LBB LG G4 Salvage 
LBB-SLVG-I4 ,LBB Iphone 4 Salvage 
LBB-SLVG-I5 ,LBB Iphone 5 Salvage 
LBB-SLVG-I5C ,LBB Iphone 5C Salvage 
LBB-SLVG-I5S ,LBB Iphone 5S Salvage 
LBB-SLVG-I6 ,LBB Iphone 6 Salvage 
LBB-SLVG-I6P ,LBB Iphone 6 Plus Salvage 
LBB-SLVG-I6S ,LBB Iphone 6S Salvage 
LBB-SLVG-I6SP ,LBB Iphone 6S Plus Salvage 
LBB-SLVG-IP12C ,iPad Mini 1/2 iC Chip Salvage 
LBB-SLVG-IPMIC ,iPad Mini IC Salvage
LBB-SLVG-MEG ,LBB Galaxy Mega Salvage 
LBB-SLVG-N1 ,LBB Note 1 Salvage 
LBB-SLVG-N2 ,LBB Note 2 Salvage 
LBB-SLVG-N3 ,LBB Note 3 Salvage 
LBB-SLVG-N4 ,LBB Note 4 Salvage 
LBB-SLVG-N5 ,LBB Note 5 Salvage 
LBB-SLVG-NX4 ,LBB LG Nexus 4 Salvage
LBB-SLVG-NX5 ,LBB LG Nexus 5 Salvage 
LBB-SLVG-NX6 ,LBB Motorola Nexus 6 Salvage
LBB-SLVG-S3 ,LBB Galaxy S3 Salvage 
LBB-SLVG-S4 ,LBB Galaxy S4 Salvage 
LBB-SLVG-S5 ,LBB Galaxy S5 Salvage 
LBB-SLVG-S6 ,LBB Galaxy S6 Salvage 
LBB-SLVG-S6E ,LBB Galaxy S6 Edge Salvage 
