SKU,Name,Manufacturer,Model,Price,"Compatible Models",Parts,"Item Category","Supported Devices"
ACC-APL-1170,"Glossy Silicon Protective Case for iPad Mini White",Apple,"iPad Mini 1",0.9900,"A1432 (WIFI)|A1454 (WIFI + Cellular)|A1455 (WIFI + Cellular)|A1489 (WIFI)|A1490 (WIFI + Cellular)|A1491 (WIFI + Cellular)|A1599 (WIFI)|A1600 (WIFI + Cellular)",No,Cases,"iPad Mini 2|iPad Mini 3"
ACC-APL-1174,"Glossy Silicon Protective Case for iPad Mini Baby Blue",Apple,"iPad Mini 1",0.9900,"A1432 (WIFI)|A1454 (WIFI + Cellular)|A1455 (WIFI + Cellular)|A1489 (WIFI)|A1490 (WIFI + Cellular)|A1491 (WIFI + Cellular)|A1599 (WIFI)|A1600 (WIFI + Cellular)",No,Cases,"iPad Mini 2|iPad Mini 3"
BTY-HTC-030,"HTC Evo 4G BB96100 / RHOD160 Replacement Battery ",HTC,"Evo 4G",0.9900,"PC36100 (Sprint)",Yes,Batteries,
ACC-SAM-002,"Samsung Galaxy Note 2 Glossy Soft Silicone Rubber Gel TPU Cover Case - Red",Samsung,"Galaxy Note 2",0.6900,"i317 (AT&T)|i605 (Verizon)|L900 (Sprint)|T889 (T-Mobile)|N7100 (International)|N7105 (International)|R950 (US Cellular)|i317M (International)|T889V (International)",No,Cases,
ACC-SAM-006,"Samsung Galaxy Note 2 Glossy Soft Silicone Rubber Gel TPU Cover Case - Hot Pink",Samsung,"Galaxy Note 2",0.6900,"i317 (AT&T)|i605 (Verizon)|L900 (Sprint)|T889 (T-Mobile)|N7100 (International)|N7105 (International)|R950 (US Cellular)|i317M (International)|T889V (International)",No,Cases,
ACC-SAM-008,"Samsung Galaxy Note 2 Glossy Soft Silicone Rubber Gel TPU Cover Case - Yellow",Samsung,"Galaxy Note 2",0.6900,"i317 (AT&T)|i605 (Verizon)|L900 (Sprint)|T889 (T-Mobile)|N7100 (International)|N7105 (International)|R950 (US Cellular)|i317M (International)|T889V (International)",No,Cases,
ACC-SAM-010,"Samsung Galaxy Note 2 Glossy Soft Silicone Rubber Gel TPU Cover Case - White",Samsung,"Galaxy Note 2",0.6900,"i317 (AT&T)|i605 (Verizon)|L900 (Sprint)|T889 (T-Mobile)|N7100 (International)|N7105 (International)|R950 (US Cellular)|i317M (International)|T889V (International)",No,Cases,
ACC-ZED-488,"iPhone 5 and 6 Series Headphones (Aftermarket)",Apple,"iPad 1",2.9900,"A1219 (WIFI)|A1337 (WIFI + Cellular)|A1416 (WIFI)|A1430 (WIFI + Cellular)|A1403 (WIFI + Cellular)|A1458 (WIFI)|A1459 (WIFI + Cellular)|A1460 (WIFI + Cellular)|A1474 (WIFI)|A1475 (WIFI + Cellular)|A1476 (WIFI + Cellular)|A1566 (WIFI)|A1567 (WIFI + Cellular)|A1432 (WIFI)|A1454 (WIFI + Cellular)|A1455 (WIFI + Cellular)|A1489 (WIFI)|A1490 (WIFI + Cellular)|A1491 (WIFI + Cellular)|A1599 (WIFI)|A1600 (WIFI + Cellular)|A1538 (WIFI)|A1550 (WIFI + Cellular)|A1241 (AT&T)|A1324 (China)|A1303 (AT&T)|A1325 (China)|A1332 (AT&T)|A1332 (T-Mobile)|A1349 (Verizon)|A1349 (C-Spire)|A1431 (China)|A1387 (Verizon)|A1387 (Sprint)|A1387 (C-Spire)|A1387 (Metro PCS)|A1387 (Cricket)|A1387 (AT&T)|A1387 (T-Mobile)|A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1532 (AT&T)|A1532 (T-Mobile)|A1532 (Verizon)|A1532 (Sprint)|A1456 (Verizon)|A1456 (Sprint)|A1507 (AT&T)|A1507 (T-Mobile)| A1529 (AT&T)| A1529 (T-Mobile)| A1529 (China)|A1526 (China)|A1516 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)|A1549 (T-Mobile)|A1549 (AT&T)|A1549 (International)|A1549 (Verizon)|A1586 (Sprint)|A1586 (No Carrier)|A1589 (China)|A1522 (AT&T)|A1522 (T-Mobile)|A1522 (International)|A1522 (No Carrier)|A1522 (Verizon)|A1524 (Sprint)|A1524 (No Carrier)|A1593 (China)",No,"Ear Buds","iPad 2|iPad 3|iPad 4|iPad Air 1|iPad Air 2|iPad Mini 1|iPad Mini 2|iPad Mini 3|iPad Mini 4|iPhone 3G|iPhone 3GS|iPhone 4|iPhone 4S|iPhone 5|iPhone 5C|iPhone 5S|iPhone 6|iPhone 6 Plus|iPhone 6S|iPhone 6S Plus|iPod Nano 6|iPod Nano 7|iPod Touch 1|iPod Touch 2|iPod Touch 3|iPod Touch 4|iPod Touch 5"
SRN-LGM-148,"LG Lucid VS840 Touch Screen Digitizer",LG,Lucid,9.79,"VS840 (Verizon)",Yes,"Touch Screen",
SRN-LGM-150,"LG Spectrum VS920 Touch Screen Digitizer",LG,Spectrum,12.9900,"VS920 (Verizon)",Yes,"Touch Screen",
