SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-003-1524,"Audio Flex Cable for iPod Nano 6 - White",0,,0.00,0.00,0.00,0.00,1.9500,1.9900,1.7900,,2.50,,,2.29,,,,
APL-003-1568,"Power Button Flex Cable for Apple iPad Mini 4 ",10,,8.00,6.65,1.78,1.47,4.2550,3.4900,2.9900,3.25,3.00,2.99,,,,,,2.99
APL-003-1569,"Charging Port for Apple iPod Touch 4 ",3,,5.00,6.50,1.96,1.07,3.3840,2.6900,0.9800,,,0.00,1.49,,,,,
APL-003-1562,"Earpiece Speaker Mesh Part for iPhone 6/6 Plus ",834,1,1.00,6.88,0.15,0.17,1.4400,0.8900,0.4900,,0.50,,0.99,,,,,
APL-003-1560,"Front Camera Holder Bracket for iPhone 6 ",25,1,0.50,6.88,0.15,0.09,0.4600,0.2900,0.0000,,1.00,,0.49,,,,,
APL-003-1563,"Charging Port Flex Cable for iPad Mini 4 ",2,,25.00,6.30,3.65,4.55,8.6450,7.2900,2.8900,3.89,6.00,2.99,4.99,5.00,,,6.00,5.99
APL-003-1554,"iPhone 4 Replacement Headphone Jack Flex Cable - White - GSM",5,,6.00,6.32,2.01,1.27,3.0480,2.3900,1.3900,2.99,,,0.00,2.67,,,5.00,
APL-003-1555,"iPhone 4 Replace Headphone Jack Flex Cable - White - CDMA",7,,10.00,6.32,2.01,1.90,4.3700,3.5900,0.8900,,,,0.00,3.83,,,4.00,
APL-003-1556,"iPhone 4S Replacement Volume Flex w/Headphone Jack - White",6,,7.00,6.50,1.96,1.38,3.4320,2.6900,1.8900,3.49,,,1.99,3.83,,,4.00,
APL-003-1539,"Home Button Metal Gasket for iPhone 6 Plus - Black",10,,2.00,6.85,0.69,0.39,1.4000,1.1900,0.8900,,1.00,,0.99,,,,,
APL-003-1545,"LCD and Touch Screen Tester Flex Cable for iPhone 6  ",1,,16.00,6.56,3.73,3.01,6.4800,4.7900,3.8900,4.49,4.00,,2.99,3.68,,,,
APL-003-1540,"Home Button Metal Gasket for iPhone 6 Plus - Gold",2,1,0.00,0.00,0.00,0.00,1.9500,1.9900,1.4900,,,1.50,0.99,,,,,
APL-003-1549,"Home Button Flex with Home Button for iPad Mini 3  - Gold",7,,10.00,6.70,3.35,1.99,4.0900,3.2900,0.0000,5.29,4.50,4.99,,10.77,,,4.00,7.99
APL-003-1546,"LCD and Touch Screen Tester Flex Cable for iPhone 6 Plus ",8,,18.00,6.80,1.04,2.80,6.7000,5.2900,3.9900,4.75,6.00,,2.99,3.36,3.99,,,
APL-003-1551," Home Button Flex with Home Button for iPad Mini 3 - White",5,1,18.00,6.88,2.19,2.93,2.8600,2.2900,0.0000,5.29,4.50,4.99,3.99,,,,4.00,7.99
APL-003-1552,"Home Button Flex for iPad Mini 3 ",10,,0.00,0.00,0.00,0.00,12.4900,,0.9900,,,0.99,,2.29,,,,
APL-003-1550,"Home Button Flex with Home Button for iPad Mini 3 - Black",11,,18.00,6.50,1.34,2.98,3.5300,2.7900,0.0000,5.29,4.50,4.99,5.99,10.77,,,4.00,7.99
APL-003-1547,"GPS Antenna Cable for iPad Air ",5,2,8.00,6.88,3.46,1.67,3.6570,2.9900,1.1900,4.89,3.00,1.50,2.99,2.64,,,4.00,
APL-003-1541,"Home Button Metal Gasket for iPhone 6 Plus - Silver",13,,2.00,6.50,5.24,1.11,3.0000,2.3900,0.7900,,,0.30,,,,,,2.99
APL-003-1543,"Microphone for iPhone 6 / iPhone 6 Plus",8,1,3.00,6.65,0.67,0.55,1.9500,1.9900,1.9900,,,0.00,,,,,,
APL-003-1553,"Touch Screen Tester Flex Cable for IPad Mini",1,,15.00,6.32,0.00,2.37,6.6200,4.8900,7.4900,7.49,,,0.00,,,,,
SRN-SNY-133,"Sony Z3 Compact LCD & Digitizer Assembly - White",0,1,180.00,6.85,3.03,26.72,40.3900,37.5900,27.9900,,,27.99,,,,,,44.99
SRN-SNY-134,"Sony Z3 Compact LCD &amp; Digitizer Assembly - White - Grade A",0,,0.00,0.00,0.00,0.00,38.6600,,0.0000,,,,,,,,,
SRN-SNY-030,"LCD + Touch Screen Digitizer for Sony Xperia ion LTE LT28at LT28i Black",0,,140.00,6.32,5.38,23.00,32.2000,29.9900,22.9900,,,,,24.76,,,,
SRN-SNY-056,"LCD + Touch Screen Digitizer for Sony Xperia ion LTE LT28at LT28i Black Grade A",0,,0.00,0.00,0.00,0.00,30.8200,,0.0000,,,,,,,,,
SRN-SNY-090,"LCD + Touch Screen Digitizer for Sony Xperia ion LTE LT28at LT28i Black Grade B",0,,0.00,0.00,0.00,0.00,30.5900,,0.0000,,,,,,,,,
SRN-SNY-127,"Sony Xperia Z3 D6603 D6643 D6653 D6616 LCD and Touch Screen Digitizer Assembly Black",0,,140.00,6.85,10.81,22.02,29.6100,27.5900,24.9900,,25.00,30.99,32.99,,,,25.00,29.99
SRN-SNY-129,"Sony Xperia Z3 D6603 D6643 D6653 LCD and Touch Screen Digitizer Assembly Black - Grade A",0,,0.00,0.00,0.00,0.00,26.5900,,0.0000,,,,,,,,,
SRN-SNY-130,"Sony Xperia Z3 D6603 D6643 D6653 LCD and Touch Screen Digitizer Assembly Black - Grade B",0,,0.00,0.00,0.00,0.00,28.1300,,0.0000,,,,,,,,,
SRN-SNY-131,"Sony Xperia Z3 D6603 D6643 D6653 LCD and Touch Screen Digitizer Assembly Black - Grade C",0,,0.00,0.00,0.00,0.00,28.0200,,0.0000,,,,,,,,,
SRN-SNY-128,"Sony Xperia Z3 D6603 D6643 D6653 LCD and Touch Screen Digitizer Assembly White",0,1,150.00,6.82,4.74,22.69,31.7700,29.5000,24.9900,,25.00,30.99,32.99,,,,25.00,29.99
SRN-SNY-044,"LCD + Touch Screen Digitizer for Sony Xperia Z1S L39T C6916 Black",0,,120.00,6.80,2.69,18.04,37.5100,34.8900,0.0000,,,,,,,,,
SRN-SNY-132,"LCD + Touch Screen Digitizer for Sony Xperia Z1S L39T C6916 Black - Grade A",0,,0.00,0.00,0.00,0.00,35.9000,,0.0000,,,,,,,,,
SRN-SNY-042,"LCD + Touch Screen Digitizer for Sony Xperia Z2 D6502 D6503 D6543 Black",1,,140.00,6.89,8.13,21.50,32.4200,30.1100,25.9900,,,25.99,,,,,,
SRN-SNY-060,"LCD + Touch Screen Digitizer for Sony Xperia Z2 D6502 D6503 D6543 Black Grade A",0,,0.00,0.00,0.00,0.00,31.0300,,0.0000,,,,,,,,,
SRN-SNY-094,"LCD + Touch Screen Digitizer for Sony Xperia Z2 D6502 D6503 D6543 Black Grade B",0,,0.00,0.00,0.00,0.00,30.8000,,0.0000,,,,,,,,,
SRN-ONP-001,"OnePlus One A0001 LCD and Touch Screen Digitizer Assembly Black",0,,130.00,6.50,7.33,21.13,28.5900,26.5900,0.0000,,,,,,,,,
SRN-NOK-072,"LCD + Touch Screen Digitizer for Nokia Lumia 925 Black",6,,220.00,6.60,8.54,34.63,48.3000,43.9900,0.0000,,,,,56.40,,,50.00,
