SKU,ItemName,Raw Cost,True Cost,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?,,,,,"
BT-BP-30096,BinTEKÖ ZTE Zinger Z667 Z667G 1500mAH Li-Ion Premium Battery,2.08,2.64,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30098,BinTEKÖ ZTE Warp Sequent N861 1600mAH Li-Ion Premium Battery,12,2.39,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30100,BinTEKÖ ZTE Speed N9130 2000mAH Li-Polymer Premium Battery,23,4.09,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30100K,BinTEKÖ ZTE Speed N9130 2000mAH Li-Polymer Premium Battery with Tools,0,0,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,1
BT-BP-30102,BinTEK Nokia Lumia 521 5228 5230 Nuron 5235 5800 XpressMusic N900 C3 X6 BL-5J 1320mAH Premium Li-Ion Battery,12,2.39,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30104,BinTEKÖ Nokia Lumia 635 630 636 638 BL-5H 1830mAH Li-Ion Premium Battery,20,3.88,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30106,BinTEKÖ HTC Desire 601 BM65100 2100mAH Li-Ion Premium Battery,4.2,6.32,12.99,12.79,12.49,12.99,12.79,12.49,12.99,12.79,12.49,12.99,12.79,12.49,12.99,12.79,12.49,12.99,12.79,12.49,12.99,12.79,12.49,1
BT-BP-30108,BinTEKÖ LG Optimus L9 P769 BL-53QH 2150mAH Li-Ion Premium Battery,16,3.29,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,1
BT-BP-30110,BinTEKÖ LG L7 II VS870 BL-59JH 2460mAH Li-Ion Premium Battery,19,3.47,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,1
BT-BP-30112,BinTEKÖ  LG Optimus G Pro E980 F240/BL-48TH BinTEKÖ 3140mAH Li-Ion Premium Battery,23,4.16,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,1
