SKU,ItemName,"True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
SRN-LGM-078K,"LG Nitro HD 4G P930 LCD Screen",0,3.0000,15.95,15.87,0,15.79,15.71,0,0,0,0,15.47,15.71,0,15.47,15.71,0,15.49,15.79,0,15.47,15.71,0,0
SRN-LGM-360K,"Touch Screen Digitizer for LG Optimus F6 D500 D505 Black with Tool Kit",0,13.9500,16.95,16.87,0,16.78,16.7,0,0,0,0,16.44,16.7,0,16.44,16.7,0,16.49,16.79,0,16.44,16.7,0,0
SRN-LGM-018K,"LG Doubleplay C729 Touch Screen Digitizer - Larger Outside with Tool kit",0,3.0000,13.95,13.88,0,13.81,13.74,0,0,0,0,13.53,13.74,0,13.53,13.74,0,13.59,13.79,0,13.53,13.74,0,0
SRN-LGM-066K,"LG Mytouch Q C800 LCD Screen with Tool Kit",0,3.0000,9.95,9.9,0,9.85,9.8,0,0,0,0,9.65,9.8,0,9.65,9.8,0,9.69,9.89,0,9.65,9.8,0,0
SRN-LGM-084K,"LG Nitro Optimus LTE P930 Touch Screen Digitizer with Tool Kit",0,19.9500,18.95,18.86,0,18.76,18.67,0,0,0,0,18.38,18.67,0,18.38,18.67,0,18.39,18.69,0,18.38,18.67,0,0
SRN-HTC-126K,"HTC Evo 4G LCD Screen - Narrow Flex with Tool Kit",0,3.0000,18.57,18.86,0,18.38,18.67,0,0,0,0,18.38,18.67,0,18.38,18.67,0,18.39,18.69,0,18.38,18.67,0,0
SRN-HTC-288K,"HTC Mytouch 4G LCD Screen with Tool Kit",0,3.0000,14.95,14.88,0,14.8,14.73,0,0,0,0,14.5,14.73,0,14.5,14.73,0,14.59,14.79,0,14.5,14.73,0,0
SRN-LGM-006K,"LG Doubleplay C729 LCD Screen - Big Outter with Tool Kit",0,3.0000,15.95,15.87,0,15.79,15.71,0,0,0,0,15.47,15.71,0,15.47,15.71,0,15.49,15.79,0,15.47,15.71,0,0
SRN-LGM-362K,"LCD + Touch Screen Digitizer with Frame for LG Google Nexus 5 D820 D821 Black with Tool Kit",0,37.9500,48.59,48.61,0,47.92,48.93,0,0,0,0,47.92,48.93,0,47.92,48.93,0,47.99,48.99,0,47.92,48.93,0,0
SRN-LGM-352K,"LCD + Touch Screen Digitizer for LG G Flex D950 D955 D958 D959 F340 LS995 Black with Tool Kit",0,90.9500,71.95,71.59,0,71.23,70.87,0,0,0,0,69.8,70.87,0,69.8,70.87,0,69.89,70.89,0,69.8,70.87,0,0
SRN-LGM-296K,"LG Optimus G2 D802 D805 LCD + Touch Screen Digitizer Assembly - Black with Tool Kit",0,51.9500,48.95,48.71,0,48.46,48.22,0,0,0,0,47.49,48.22,0,47.49,48.22,0,47.49,48.29,0,47.49,48.22,0,0
SRN-LGM-550K,"LG Optimus L90 D405 D415 Touch Screen Digitizer with Tool Kit",0,12.9500,16.61,16.87,0,16.44,16.7,0,0,0,0,16.44,16.7,0,16.44,16.7,0,16.49,16.79,0,16.44,16.7,0,0
SRN-LGM-246K,"LG Venice LG730 LCD Screen Display with Tool Kit",0,3.0000,9.95,9.9,0,9.85,9.8,0,0,0,0,9.65,9.8,0,9.65,9.8,0,9.69,9.89,0,9.65,9.8,0,0
SRN-LGM-042K,"LG Intuition VS950 Touch Screen Digitizer - Black with Tool Kit",0,19.9500,27.95,27.81,0,27.67,27.53,0,0,0,0,27.12,27.53,0,27.12,27.53,0,27.19,27.59,0,27.12,27.53,0,0
SRN-LGM-060K,"LG Mytouch 4G LTE E739 LCD + Touch Screen Digitizer with Tool Kit",0,51.9500,48.95,48.71,0,48.46,48.22,0,0,0,0,47.49,48.22,0,47.49,48.22,0,47.49,48.29,0,47.49,48.22,0,0
SRN-LGM-164K,"LG Connect MS840 Touch Screen Digitizer - Black with Tool Kit",0,3.0000,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-HTC-096K,"HTC Evo 3D LCD Screen with Tool Kit",0,16.9500,13.95,13.88,0,13.81,13.74,0,0,0,0,13.53,13.74,0,13.53,13.74,0,13.59,13.79,0,13.53,13.74,0,0
SRN-LGM-048K,"LG Marquee LS855 LS 855 Optimus Black P970 LCD Screen wtih Tool Kit",0,3.0000,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-LGM-308K,"LG G3 D850 D851 D855 VS985 LS990 LCD Digitizer Assembly Gold with Tool Kit",0,60.9500,61.69,62.64,0,61.07,62.01,0,0,0,0,61.07,62.01,0,61.07,62.01,0,61.09,62.09,0,61.07,62.01,0,0
SRN-LGM-294K,"LG Optimus G2 VS980 LS980 LCD + Touch Screen Digitizer Assembly with Verizon Logo - Black with Tool Kit",0,35.9500,52.95,52.69,0,52.42,52.16,0,0,0,0,51.37,52.16,0,51.37,52.16,0,51.39,52.19,0,51.37,52.16,0,0
SRN-LGM-030K,"LG G2X Optimus 2X P990 P999 LCD Screen wtih Tool Kit",0,3.0000,15.95,15.87,0,15.79,15.71,0,0,0,0,15.47,15.71,0,15.47,15.71,0,15.49,15.79,0,15.47,15.71,0,0
SRN-LGM-036K,"LG G2X Optimus 2X P990 P999 Touch Screen Digitizer - Black with Tool Kit",0,13.9500,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-HTC-198K,"HTC G2 / Desire Z Touch Screen Digitizer with Tool Kit",0,12.9500,11.95,11.89,0,11.83,11.77,0,0,0,0,11.59,11.77,0,11.59,11.77,0,11.59,11.79,0,11.59,11.77,0,0
SRN-HTC-114K,"HTC Evo 4G LCD + Touch Screen Digitizer - Narrow Flex with Tool Kit",0,3.0000,25.43,25.82,0,25.18,25.56,0,0,0,0,25.18,25.56,0,25.18,25.56,0,25.19,25.59,0,25.18,25.56,0,0
SRN-HTC-168K,"HTC Evo Shift 4G Touch Screen Digitizer with Tool Kit",0,12.9500,9.95,9.9,0,9.85,9.8,0,0,0,0,9.65,9.8,0,9.65,9.8,0,9.69,9.89,0,9.65,9.8,0,0
SRN-HTC-144K,"HTC Evo 4G LTE LCD Screen + Digitzer Touch Screen - White with Tool Kit",0,27.9500,27.11,27.74,0,26.7,27.32,0,0,0,0,26.7,27.32,0,26.7,27.32,0,26.79,27.39,0,26.7,27.32,0,0
SRN-HTC-138K,"HTC Evo 4G LTE LCD Screen + Digitzer Touch Screen - Black with Tool Kit",0,32.9500,41.95,41.74,0,41.53,41.32,0,0,0,0,40.7,41.32,0,40.7,41.32,0,40.79,41.39,0,40.7,41.32,0,0
SRN-HTC-1098K,"LCD Screen for HTC MyTouch 3G with Tool Kit",0,3.0000,9.95,9.9,0,9.85,9.8,0,0,0,0,9.65,9.8,0,9.65,9.8,0,9.69,9.89,0,9.65,9.8,0,0
SRN-HTC-1096K,"LCD + Touch Screen Digitizer with frame for Windows 8X 6990L Black with Tool Kit",0,32.9500,40.95,40.75,0,40.54,40.34,0,0,0,0,39.73,40.34,0,39.73,40.34,0,39.79,40.39,0,39.73,40.34,0,0
SRN-HTC-060K,"HTC Droid Incredible Touch Screen Digitizer with Tool Kit",0,12.9500,10.73,10.9,0,10.62,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-HTC-043K,"HTC Desire C Touch Screen Digitizer with Tool Kit",0,11.9500,10.95,10.9,0,10.84,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-HTC-045K,"HTC Desire C LCD Screen with Tool Kit",0,16.9500,11.95,11.89,0,11.83,11.77,0,0,0,0,11.59,11.77,0,11.59,11.77,0,11.59,11.79,0,11.59,11.77,0,0
SRN-HTC-046K,"HTC Droid DNA Touch Screen Digitizer with Tool Kit",0,14.9500,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-HTC-048K,"HTC Droid Incredible LCD Screen  - Samsung with Tool Kit",0,3.0000,18.57,18.86,0,18.38,18.67,0,0,0,0,18.38,18.67,0,18.38,18.67,0,18.39,18.69,0,18.38,18.67,0,0
SRN-HTC-054K,"HTC Droid Incredible LCD Screen  - Sony - with Tool Kit",0,15.9500,15.95,15.87,0,15.79,15.71,0,0,0,0,15.47,15.71,0,15.47,15.71,0,15.49,15.79,0,15.47,15.71,0,0
SRN-HTC-036K,"HTC ATT Freestyle LCD Screen with Tool Kit",0,3.0000,10.73,10.9,0,10.62,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-HTC-204K,"HTC HD2 Tmobile Touch Screen Digitizer with Tool Kit",0,3.0000,11.95,11.89,0,11.83,11.77,0,0,0,0,11.59,11.77,0,11.59,11.77,0,11.59,11.79,0,11.59,11.77,0,0
SRN-HTC-132K,"HTC Tmobile HD2 / HTC Evo 4G LCD Screen - Wide Flex with Tool Kit",0,3.0000,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-HTC-084K,"HTC Droid Incredible 4G LTE LCD Screen + Touch Screen Assembly with Tool Kit",0,36.9500,36.21,36.77,0,35.85,36.4,0,0,0,0,35.85,36.4,0,35.85,36.4,0,35.89,36.49,0,35.85,36.4,0,0
SRN-HTC-072K,"HTC Droid Incredible 2 LCD + Touch Screen Digitizer with Tool Kit",0,25.9500,31.95,31.79,0,31.63,31.47,0,0,0,0,31,31.47,0,31,31.47,0,31.09,31.49,0,31,31.47,0,0
SRN-HTC-066K,"HTC Droid Incredible 2 LCD Screen with Tool Kit",0,16.9500,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-HTC-024K,"HTC Aria LCD + Touch Screen Digitizer withTool Kit",0,3.0000,21.95,21.84,0,21.73,21.62,0,0,0,0,21.29,21.62,0,21.29,21.62,0,21.29,21.69,0,21.29,21.62,0,0
SRN-HTC-1100K,"LCD + Touch Screen Digitizer with Frame for HTC Droid Incredible 2 Black with Tool Kit",0,3.0000,22.95,22.84,0,22.72,22.61,0,0,0,0,22.27,22.61,0,22.27,22.61,0,22.29,22.69,0,22.27,22.61,0,0
SRN-HTC-042K,"HTC ATT Freestyle Touch Screen Digitizer with Tool Kit",0,13.9500,10.73,10.9,0,10.62,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-HTC-1006K,"HTC Vivid 4G LCD Touch Screen Digitizer with Frame with Tool Kit",0,31.9500,33.95,33.78,0,33.61,33.44,0,0,0,0,32.94,33.44,0,32.94,33.44,0,32.99,33.49,0,32.94,33.44,0,0
