SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
BT-BP-30010,"BinTEK™ iPhone 6  1810mAH Li-Ion Premium Battery",3.14,3.46,7.2700,6.57,6.75,0,6.06,6.23,0,0,0,0,5.54,5.88,0,5.36,5.71,0,5.19,5.36,0,5.09,5.19,0,0
BT-BP-30014,"BinTEK™ iPod Touch 2 789mAH Li-Ion Premium Battery",19,3.46,7.6900,6.95,7.14,0,6.41,6.59,0,0,0,0,5.86,6.22,0,5.67,6.04,0,5.49,5.69,0,5.38,5.49,0,0
BTY-SAM-095,"Samsung Galaxy Tab 2 7.0 P3100 P3110 P3113 P6200 4000mAh Battery",4.19,4.73,8.9870,8.2775,8.514,0,7.9464,8.041,0,0,0,0,7.568,7.8045,0,7.3315,7.568,0,7.19,7.39,0,6.8585,7.095,0,0
BT-BP-30006,"BinTEK™ iPhone 5 1440mAH mAH Li-Ion Premium Battery",3.3,3.62,7.6000,6.88,7.06,0,6.34,6.52,0,0,0,0,5.79,6.15,0,5.61,5.97,0,5.43,5.61,0,5.32,5.43,0,0
BT-BP-30000,"BinTEK™ iPhone 3GS 1219mAH Li-Ion Premium Battery",20,5.48,7.6000,6.88,7.06,0,6.34,6.52,0,0,0,0,5.79,6.15,0,5.61,5.97,0,5.49,5.69,0,5.32,5.43,0,0
BT-BP-30046,"BinTEK™ Motorola Droid MAXX XT1080M XT1080 EU40 3500mAH Li-Ion Premium Battery",26,4.63,8.6500,7.96,8.19,0,7.64,7.74,0,0,0,0,7.28,7.51,0,7.05,7.28,0,6.89,7.09,0,6.6,6.83,0,0
BT-BP-30072K,"BinTEK™ Motorola Moto G ED30 XT1032 XT1033 XT1036 2010mAH Li-Ion Premium Battery with Tools",0,0,10.9500,29.55,29.75,0,14.55,14.75,0,0,0,0,14.55,14.75,0,14.55,14.75,0,14.59,14.79,0,14.55,14.75,0,0
BT-BP-30072,"BinTEK™  Motorola Moto G XT1032 XT1033 XT1036 ED30 2010mAH Li-Ion Premium Battery",22,4.18,7.1000,6.42,6.59,0,5.92,6.08,0,0,0,0,5.41,5.75,0,5.24,5.58,0,5.09,5.29,0,4.97,5.07,0,0
BT-BP-30012,"BinTEK™ iPod Touch 5  1030mAH Li-Ion Premium Battery",20,3.08,6.4700,5.85,6.01,0,5.39,5.54,0,0,0,0,4.93,5.24,0,4.77,5.08,0,4.69,4.79,0,4.53,4.62,0,0
APL-001-2017,"LCD and Touch Screen Digitizer For ATT IPhone 4 Zebra - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1510,"Samsung Galaxy S3 i9300 Rear Housing Frame - Black",0,0,3.5000,2.89,3.09,0,2.89,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1985,"LCD and Touch Screen Digitizer Assembly for iPhone 5S White - Grade C",0,13,18.5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1507,"Samsung Galaxy S3 i9300 Back Battery Door Cover - Black",0,0,3.5000,2.89,3.09,0,2.89,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
